"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L26293","provider","org.junit.jupiter.params.provider","L24705","L103","0.0374265","3","8","8","0","0","0","0","0.904762","0.35046","1180","19","2","0.904762","0.35046","1180","19","2","2187","3984","54","32","4","7","5","294","9","0","32","0","2187","3984","54","32","20","4","31","7","5","294","652","9","1","2","2","0","32","0","0","1","671","40","199","24","114","75","10","0","4","35","0","2","0","0"
"L27535","support","org.junit.jupiter.params.support","L24705","L103","0","0","0","0","0","0","0","0","1","0.474227","46","3","0","1","0.474227","46","3","0","51","115","1","1","0","0","1","4","0","0","1","0","51","115","1","1","13","0","3","0","1","4","9","0","1","0","1","0","1","0","0","1","7","1","1","0","1","1","1","0","0","0","0","0","0","0"
"L28401","util","org.junit.platform.commons.util","L28389","L103","0.0596774","11","44","25","0","0","0","0","0.836478","0.290914","2350","133","26","0.832335","0.295943","2422","139","28","5728","9599","92","165","1","65","25","701","16","1","204","0","5762","9733","92","171","29","1","48","65","25","703","1916","16","36","1","3","1","206","0","0","12","2032","159","697","53","535","107","87","0","77","62","0","0","0","0"
"L32079","annotation","org.junit.platform.commons.annotation","L28389","L103","0","0","0","0","0","0","0","0","1","0.686441","81","1","0","1","0.686441","81","1","0","37","137","1","2","0","0","0","3","0","0","0","0","37","137","1","2","22","0","3","0","0","3","2","0","0","0","0","0","0","0","0","0","10","0","6","0","1","3","1","0","1","0","0","0","0","0"
"L32098","function","org.junit.platform.commons.function","L28389","L103","0.0712121","1","6","2","0","0","0","0","0.9375","0.373494","155","15","1","0.9375","0.373494","155","15","1","260","496","2","4","0","3","1","46","0","0","35","0","260","496","2","4","22","0","3","3","1","46","100","0","2","0","1","0","35","0","0","0","101","9","7","4","5","2","6","0","0","3","0","0","0","0"
"L32373","logging","org.junit.platform.commons.logging","L28389","L103","0","0","0","0","0","0","0","0","1","0.541772","214","24","0","1","0.541772","214","24","0","181","469","5","3","0","1","1","38","0","0","33","0","181","469","5","3","13","0","4","1","1","38","57","0","2","0","1","0","33","0","0","0","36","0","1","8","0","1","0","0","0","0","0","0","0","0"
"L32536","support","org.junit.platform.commons.support","L28389","L103","0.0787285","3","6","6","0","0","0","0","1","0.477941","910","52","0","1","0.477941","910","52","0","994","2190","16","22","2","0","0","135","6","0","47","0","994","2190","16","22","22","2","12","0","0","135","261","6","5","2","0","0","47","0","0","0","348","22","158","3","117","34","6","0","8","15","0","0","0","0"
"L33177","test","org.junit.platform.commons.test","L28389","L103","0","0","0","0","0","0","0","0","0","0.15873","10","0","3","0","0.15873","10","0","3","53","70","0","1","0","0","0","2","0","0","2","0","53","70","0","1","13","0","1","0","0","2","17","0","1","0","0","0","2","0","0","1","7","3","0","0","0","0","3","0","0","1","0","0","0","0"
"L33382","options","org.junit.platform.console.options","L33226","L103","0.213156","5","15","15","0","0","0","0","0.0875","0.181203","241","7","73","0.0875","0.181203","241","7","73","1089","1603","95","8","3","25","1","144","9","0","80","30","1089","1603","95","8","22","3","9","25","1","144","212","9","2","2","1","0","80","30","0","3","806","17","243","9","170","32","43","0","3","15","0","0","0","0"
"L34147","tasks","org.junit.platform.console.tasks","L33226","L103","0.0642181","5","16","10","0","0","0","0","0.333333","0.161866","281","1","2","0.333333","0.161866","281","1","2","1455","2076","59","16","1","1","0","148","9","0","25","1","1455","2076","59","16","22","1","17","1","0","148","620","9","1","0","0","0","25","1","0","2","418","36","90","4","57","33","23","0","0","15","0","0","0","0"
