"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L25493","targetType","org.junit.jupiter.params.converter.FallbackStringToObjectConverter$IsFactoryConstructor.targetType;Ljava/lang/Class;","L25476","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\converter\FallbackStringToObjectConverter.java","151","3","151","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25782","title","org.junit.jupiter.params.converter.FallbackStringToObjectConverterTests$Book.title;Ljava/lang/String;","L25717","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\converter\FallbackStringToObjectConverterTests.java","134","3","134","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25798","title","org.junit.jupiter.params.converter.FallbackStringToObjectConverterTests$Journal.title;Ljava/lang/String;","L25744","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\converter\FallbackStringToObjectConverterTests.java","175","3","175","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25803","title","org.junit.jupiter.params.converter.FallbackStringToObjectConverterTests$Newspaper.title;Ljava/lang/String;","L25730","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\converter\FallbackStringToObjectConverterTests.java","197","3","197","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25851","converter","org.junit.jupiter.params.converter.TypedArgumentConverterTests$UnitTests.converter;Lorg/junit/jupiter/params/converter/TypedArgumentConverterTests$StringLengthArgumentConverter;","L25849","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\converter\TypedArgumentConverterTests.java","45","3","45","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26481","csvParser","org.junit.jupiter.params.provider.CsvFileArgumentsProvider$CsvParserIterator.csvParser;LCsvParser;","L26472","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\CsvFileArgumentsProvider.java","119","3","119","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26482","annotation","org.junit.jupiter.params.provider.CsvFileArgumentsProvider$CsvParserIterator.annotation;Lorg/junit/jupiter/params/provider/CsvFileSource;","L26472","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\CsvFileArgumentsProvider.java","120","3","120","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26483","nullValues","org.junit.jupiter.params.provider.CsvFileArgumentsProvider$CsvParserIterator.nullValues;Ljava/util/Set;","L26472","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\CsvFileArgumentsProvider.java","121","3","121","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26484","nextCsvRecord","org.junit.jupiter.params.provider.CsvFileArgumentsProvider$CsvParserIterator.nextCsvRecord;[Ljava/lang/Object;","L26472","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\CsvFileArgumentsProvider.java","122","3","122","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26421","INSTANCE","org.junit.jupiter.params.provider.CsvFileArgumentsProvider$DefaultInputStreamProvider.INSTANCE;Lorg/junit/jupiter/params/provider/CsvFileArgumentsProvider$DefaultInputStreamProvider;","L26511","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\CsvFileArgumentsProvider.java","188","3","188","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
