"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L22195","ForkJoinPoolHierarchicalTestExecutorService","org.junit.platform.engine.support.hierarchical.ForkJoinPoolHierarchicalTestExecutorService","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\ForkJoinPoolHierarchicalTestExecutorService.java","47","1","212","2","0","0","0","0","0","0","0","0","2","2","2","19","12","2","2","10","21","0.5","0.268908","32","21","3","3","0.22","33","1","1","0","0","1","87","129","2","0","2","0","11","0","5","0","11","35","0","5","0","117","166","4","0","4","0","15","0","7","0","15","42","0","7","0","0","0","37","0","0","0","0","0","0","1","0","1","0","0","35","0","0","0","0","0","0","0","0"
"L22171","HierarchicalTestEngine<C extends EngineExecutionContext>","org.junit.platform.engine.support.hierarchical.HierarchicalTestEngine","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\HierarchicalTestEngine.java","29","1","115","2","0","0","0","0","0","0","0","0","1","1","1","6","10","2","2","5","10","0.666667","0.707865","63","63","2","1","0.707865","63","1","1","2","2","1","26","87","0","4","0","0","5","0","2","0","10","7","0","7","0","26","87","0","4","0","0","5","0","2","0","10","7","0","7","0","0","0","3","1","2","0","0","0","1","0","0","0","1","0","3","1","0","0","0","0","0","0","0"
"L38516","HierarchicalTestExecutor<C extends EngineExecutionContext>","org.junit.platform.engine.support.hierarchical.HierarchicalTestExecutor","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\HierarchicalTestExecutor.java","34","1","60","2","0","0","0","0","0","0","0","0","1","0","0","2","11","2","26","8","10","1","0.378378","14","14","1","0","0.378378","14","0","0","0","0","0","23","27","4","0","4","0","2","0","0","0","2","11","0","0","0","23","27","4","0","4","0","2","0","0","0","2","11","0","0","0","0","0","5","0","1","1","0","0","1","0","0","1","0","0","4","0","0","0","0","0","0","0","0"
"L38591","LockManager","org.junit.platform.engine.support.hierarchical.LockManager","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\LockManager.java","34","1","88","2","0","0","0","0","0","0","0","0","2","1","1","10","7","3","4","5","11","1","0.14","7","3","1","0","0.14","7","0","0","0","0","0","43","55","2","3","2","3","6","0","0","0","6","14","0","0","0","43","55","2","3","2","3","6","0","0","0","6","14","0","0","0","0","0","15","0","3","0","0","0","3","1","0","0","0","0","14","0","0","0","0","0","0","0","0"
"L38552","NodeExecutionAdvisor","org.junit.platform.engine.support.hierarchical.NodeExecutionAdvisor","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NodeExecutionAdvisor.java","23","1","51","2","0","0","0","0","0","0","0","0","2","1","1","6","4","5","13","1","6","1","0.115385","3","3","1","0","0.115385","3","0","0","0","0","0","23","29","2","2","2","2","5","0","0","0","5","8","0","0","0","23","29","2","2","2","2","5","0","0","0","5","8","0","0","0","0","0","13","0","4","0","0","0","4","1","0","0","0","0","12","0","0","0","0","0","0","0","0"
"L38568","NodeTestTask<C extends EngineExecutionContext>","org.junit.platform.engine.support.hierarchical.NodeTestTask","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NodeTestTask.java","43","1","265","2","0","0","0","0","0","0","0","0","2","2","2","22","16","3","4","22","34","0.25","0.0820896","11","3","1","3","0.0631579","12","1","1","0","0","1","123","159","11","2","11","2","12","0","3","1","12","44","0","3","1","178","223","13","2","13","2","19","1","9","1","19","67","1","9","1","0","1","58","2","2","1","0","0","1","1","0","4","1","0","45","0","3","0","0","0","0","0","8"
"L38562","NodeTestTaskContext","org.junit.platform.engine.support.hierarchical.NodeTestTaskContext","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NodeTestTaskContext.java","18","1","55","2","0","0","0","0","0","0","0","0","1","1","1","7","5","3","9","0","6","0.5","0.0882353","3","3","1","1","0.0882353","3","0","0","0","0","0","31","38","4","4","4","4","6","0","1","0","6","11","0","1","0","31","38","4","4","4","4","6","0","1","0","6","11","0","1","0","0","0","15","0","5","0","0","0","5","0","0","0","0","0","15","0","0","0","0","0","0","0","0"
"L38557","NodeTreeWalker","org.junit.platform.engine.support.hierarchical.NodeTreeWalker","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NodeTreeWalker.java","27","1","105","2","0","0","0","0","0","0","0","0","1","3","3","15","9","2","13","8","16","1","0.0416667","3","3","1","0","0.0416667","3","0","0","0","0","0","69","79","3","1","3","1","8","0","0","0","8","30","0","0","0","69","79","3","1","3","1","8","0","0","0","8","30","0","0","0","0","0","18","0","1","0","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0"
"L39026","NodeUtils","org.junit.platform.engine.support.hierarchical.NodeUtils","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NodeUtils.java","18","1","33","2","0","0","0","0","0","0","0","0","1","0","0","3","3","3","3","0","2","1","0.266667","4","3","1","0","0.266667","4","0","0","0","0","0","11","16","1","0","1","0","2","0","0","0","2","1","0","0","0","11","16","1","2","1","0","2","0","0","0","13","1","0","11","0","0","0","5","0","2","0","0","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L39037","NopLock","org.junit.platform.engine.support.hierarchical.NopLock","L38127","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NopLock.java","18","1","35","2","0","0","0","0","0","0","0","0","2","0","0","3","1","4","0","0","3","0.333333","0.333333","6","5","1","2","0.333333","6","1","1","0","0","1","12","18","1","0","1","0","3","0","2","0","4","1","0","3","0","12","18","1","0","1","0","3","0","2","0","4","1","0","3","0","0","0","6","0","2","0","0","0","1","1","0","0","1","0","5","0","0","0","0","0","0","0","0"
